file,trajectory,controller,IAE,ITAE,ISE,ICE,max_error,mean_error,final_error,settling_time,total_time,num_samples
lyapunov_20251101_153931.csv,cuadrada,lyapunov,0.741888,23.563592,0.017873,6.879100,0.039800,0.013523,0.002500,54.797000,54.786000,1097
lyapunov_20251101_154102.csv,cuadrada,lyapunov,0.743185,23.340056,0.018264,6.892057,0.040600,0.013527,0.002400,54.940000,54.822000,1099
lyapunov_20251101_154215.csv,cuadrada,lyapunov,0.770008,24.140612,0.019367,6.862211,0.040600,0.014024,0.002400,54.847000,54.846000,1098
lyapunov_20251101_154334.csv,cuadrada,lyapunov,0.742966,23.484391,0.018257,6.825285,0.039800,0.013555,0.002500,54.777000,54.662000,1096
lyapunov_20251101_154515.csv,cuadrada,lyapunov,0.765993,24.529829,0.019318,6.808760,0.041200,0.013975,0.002500,54.749000,54.748000,1096
lyapunov_20251101_154632.csv,cuadrada,lyapunov,0.764214,24.205758,0.018732,6.947076,0.040900,0.013928,0.002500,54.849000,54.731000,1097
lyapunov_20251101_154818.csv,cuadrada,lyapunov,0.728002,22.903564,0.017785,6.862931,0.040700,0.013254,0.002300,54.953000,54.835000,1099
lyapunov_20251101_154930.csv,cuadrada,lyapunov,0.729435,23.273488,0.017711,6.857397,0.039700,0.013301,0.002400,54.829000,54.711000,1097
lyapunov_20251101_155052.csv,cuadrada,lyapunov,0.746395,23.640415,0.018327,6.834044,0.040500,0.013608,0.002400,54.772000,54.764000,1097
lyapunov_20251101_155224.csv,cuadrada,lyapunov,0.761020,24.092693,0.019020,6.885934,0.040300,0.013885,0.002400,54.771000,54.757000,1096
lyapunov_20251101_155339.csv,cuadrada,lyapunov,0.709500,22.495828,0.017054,6.891945,0.038800,0.012972,0.002400,54.757000,54.756000,1096
lyapunov_20251101_155451.csv,cuadrada,lyapunov,0.784491,24.730149,0.019987,6.784678,0.041200,0.014313,0.002500,54.765000,54.753000,1096
lyapunov_20251101_155617.csv,cuadrada,lyapunov,0.758326,23.997772,0.018796,6.881621,0.040100,0.013839,0.002500,54.756000,54.741000,1096
lyapunov_20251101_155750.csv,cuadrada,lyapunov,0.757016,24.332268,0.019277,6.852827,0.041100,0.013788,0.002400,54.904000,54.786000,1098
lyapunov_20251101_155936.csv,cuadrada,lyapunov,0.769887,24.293179,0.019412,6.844801,0.041400,0.014066,0.002400,54.718000,54.708000,1095
lyapunov_20251101_160053.csv,cuadrada,lyapunov,0.779127,24.894974,0.020518,6.948805,0.041300,0.014180,0.002400,54.904000,54.896000,1099
lyapunov_20251101_160209.csv,cuadrada,lyapunov,0.783300,24.685187,0.019749,6.852381,0.041200,0.014283,0.002500,54.813000,54.803000,1097
lyapunov_20251101_160350.csv,cuadrada,lyapunov,0.743125,23.359751,0.018019,7.037782,0.039100,0.013532,0.002300,54.860000,54.854000,1098
lyapunov_20251101_160508.csv,cuadrada,lyapunov,0.737003,22.903898,0.017772,6.913539,0.040700,0.013465,0.002300,54.737000,54.620000,1095
lyapunov_20251101_160631.csv,cuadrada,lyapunov,0.762318,23.940088,0.019217,6.928203,0.040000,0.013796,0.002300,55.256000,55.139000,1105
lyapunov_20251101_160750.csv,cuadrada,lyapunov,0.788869,25.000785,0.020174,6.929639,0.040400,0.014359,0.002300,54.903000,54.902000,1099
lyapunov_20251101_160945.csv,cuadrada,lyapunov,0.757055,24.304871,0.019397,6.904496,0.039300,0.013795,0.002500,54.806000,54.803000,1097
mpc_20251101_161158.csv,cuadrada,mpc,0.424921,11.992970,0.005242,5.637082,0.031300,0.007824,0.005600,54.259000,54.245000,1086
mpc_20251101_161312.csv,cuadrada,mpc,0.409898,12.081131,0.005011,5.641243,0.030700,0.007548,0.004500,54.271000,54.241000,1086
mpc_20251101_161428.csv,cuadrada,mpc,0.429846,12.124090,0.005177,5.656086,0.031400,0.007917,0.004500,54.290000,54.254000,1086
mpc_20251101_161550.csv,cuadrada,mpc,0.411482,11.254223,0.004880,5.621566,0.031300,0.007577,0.004900,54.250000,54.241000,1086
mpc_20251101_161712.csv,cuadrada,mpc,0.367084,10.208188,0.004211,5.663919,0.030700,0.006736,0.003800,54.487000,54.453000,1090
mpc_20251101_161832.csv,cuadrada,mpc,0.413055,11.206541,0.004865,5.600752,0.031600,0.007603,0.004100,54.341000,54.293000,1087
mpc_20251101_161944.csv,cuadrada,mpc,0.438994,12.045679,0.005404,5.632331,0.031400,0.008082,0.005500,54.258000,54.250000,1086
mpc_20251101_162133.csv,cuadrada,mpc,0.360761,10.022011,0.004024,5.675506,0.030800,0.006625,0.004300,54.386000,54.381000,1089
mpc_20251101_162247.csv,cuadrada,mpc,0.388334,10.842162,0.004471,5.632924,0.030900,0.007141,0.004600,54.388000,54.348000,1088
mpc_20251101_162406.csv,cuadrada,mpc,0.389692,11.025915,0.004456,5.613955,0.031600,0.007151,0.004400,54.481000,54.445000,1090
mpc_20251101_162536.csv,cuadrada,mpc,0.425885,11.574556,0.005569,5.694350,0.031200,0.008013,0.008400,53.371000,53.365000,1016
mpc_20251101_162651.csv,cuadrada,mpc,0.419388,11.335579,0.005161,5.654880,0.031600,0.007726,0.004700,54.272000,54.250000,1086
mpc_20251101_162834.csv,cuadrada,mpc,0.437510,12.491681,0.005545,5.786955,0.032200,0.008024,0.004800,54.491000,54.444000,1090
mpc_20251101_163012.csv,cuadrada,mpc,0.424292,12.104172,0.005174,5.642927,0.031400,0.007817,0.005500,54.276000,54.243000,1086
